Subject ID,Slice Index,sequence,Motion_Level,DISTS
brain_AXT1PRE_203_6000653,5,t1,g1,0.008016645908355713
brain_AXT1PRE_203_6000653,6,t1,g1,0.009559333324432373
brain_AXT1PRE_203_6000653,7,t1,g1,0.013165652751922607
brain_AXT1PRE_203_6000653,8,t1,g1,0.014276266098022461
brain_AXT1PRE_203_6000653,9,t1,g1,0.015267729759216309
brain_AXT1PRE_200_6002363,0,t1,g1,0.0062634944915771484
brain_AXT1PRE_200_6002363,1,t1,g1,0.018366515636444092
brain_AXT1PRE_200_6002363,2,t1,g1,0.00932985544204712
brain_AXT1PRE_200_6002363,3,t1,g1,0.007689416408538818
brain_AXT1PRE_200_6002363,4,t1,g1,0.02000606060028076
brain_AXT1PRE_200_6002363,5,t1,g1,0.0072972774505615234
brain_AXT1PRE_200_6002363,6,t1,g1,0.010200917720794678
brain_AXT1PRE_200_6002363,7,t1,g1,0.007484138011932373
brain_AXT1PRE_200_6002363,8,t1,g1,0.016341984272003174
brain_AXT1PRE_200_6002363,9,t1,g1,0.016862571239471436
brain_AXT1PRE_203_6000658,0,t1,g1,0.06517183780670166
brain_AXT1PRE_203_6000658,1,t1,g1,0.03283500671386719
brain_AXT1PRE_203_6000658,2,t1,g1,0.018616914749145508
brain_AXT1PRE_203_6000658,3,t1,g1,0.009495675563812256
brain_AXT1PRE_203_6000658,4,t1,g1,0.011460304260253906
brain_AXT1PRE_203_6000658,5,t1,g1,0.03998410701751709
brain_AXT1PRE_203_6000658,6,t1,g1,0.01779782772064209
brain_AXT1PRE_203_6000658,7,t1,g1,0.009958386421203613
brain_AXT1PRE_203_6000658,8,t1,g1,0.01881498098373413
brain_AXT1PRE_203_6000658,9,t1,g1,0.01168060302734375
brain_AXT1PRE_200_6002082,0,t1,g1,0.03664505481719971
brain_AXT1PRE_200_6002082,1,t1,g1,0.022427618503570557
brain_AXT1PRE_200_6002082,2,t1,g1,0.014501690864562988
brain_AXT1PRE_200_6002082,3,t1,g1,0.03807270526885986
brain_AXT1PRE_200_6002082,4,t1,g1,0.019509196281433105
brain_AXT1PRE_200_6002082,5,t1,g1,0.02591097354888916
brain_AXT1PRE_200_6002082,6,t1,g1,0.012404084205627441
