Subject ID,Slice Index,Haarpsi,VSI,VIF,NQM,LPIPS,Motion_Level,sequence
brain_AXT1PRE_210_6001844,1,0.9914454740665746,0.9989,0.8766,41.75291337519758,0.0476439036428928,1,t1
brain_AXT1PRE_210_6001844,2,0.9963373360000994,0.9993,0.9194,43.29690264725747,0.0277524106204509,1,t1
brain_AXT1PRE_210_6001844,3,0.9925160614238728,0.9993,0.9042,40.87858147173405,0.0386477448046207,1,t1
brain_AXT1PRE_210_6001844,4,0.992490355315838,0.9989,0.8534,41.82033690240901,0.04746850207448,1,t1
brain_AXT1PRE_210_6001844,5,0.9866525394450578,0.9983,0.8399,41.68118343318064,0.0591164752840995,1,t1
brain_AXT1PRE_210_6001844,6,0.9985770123067932,0.9998,0.957,46.70201209338757,0.0132949696853756,1,t1
brain_AXT1PRE_210_6001844,7,0.9985173363748912,0.9996,0.9134,41.76774986420104,0.0245223138481378,1,t1
brain_AXT1PRE_210_6001844,8,0.9971652086070442,0.9995,0.9048,42.35366002142154,0.0236322432756423,1,t1
brain_AXT1PRE_210_6001844,9,0.9958862808238348,0.9992,0.8746,44.10848921444952,0.0315571501851081,1,t1
brain_AXT1PRE_210_6001827,0,0.9908356525961776,0.9989,0.9003,42.969874990259655,0.0285307541489601,1,t1
brain_AXT1PRE_210_6001827,1,0.9837952453254348,0.9981,0.8329,39.12879844055662,0.0494076646864414,1,t1
brain_AXT1PRE_210_6001827,2,0.9980242592012551,0.9996,0.9263,42.23157014303303,0.0201705023646354,1,t1
brain_AXT1PRE_210_6001827,3,0.9978456062889852,0.9995,0.9248,40.270170555271896,0.0177333522588014,1,t1
brain_AXT1PRE_210_6001827,4,0.9804828731452504,0.9984,0.8433,36.71207857953441,0.0415504574775695,1,t1
brain_AXT1PRE_210_6001827,5,0.9945045835510194,0.9989,0.8559,43.06465687902345,0.0374487340450286,1,t1
brain_AXT1PRE_210_6001827,6,0.9964475998456596,0.9992,0.8837,37.731262716034095,0.028641615062952,1,t1
brain_AXT1PRE_210_6001827,7,0.9964456327334068,0.999,0.8659,43.32044041799194,0.0344734527170658,1,t1
brain_AXT1PRE_210_6001827,8,0.9985450688617076,0.9996,0.9326,45.02054249593316,0.0156082520261406,1,t1
brain_AXT1PRE_210_6001827,9,0.9984138591565196,0.9996,0.9107,39.88851478791885,0.0189887508749961,1,t1
brain_AXT1PRE_210_6001710,0,0.9826417069218312,0.998,0.8391,40.642083682518304,0.0431692935526371,1,t1
brain_AXT1PRE_210_6001710,1,0.9981629309383616,0.9996,0.9155,44.94554056036886,0.022598871961236,1,t1
brain_AXT1PRE_210_6001710,2,0.9916841115225318,0.999,0.8899,37.36253140379521,0.0314119346439838,1,t1
brain_AXT1PRE_210_6001710,3,0.9878576230317236,0.9987,0.8923,40.59069884239517,0.0296081434935331,1,t1
brain_AXT1PRE_210_6001710,4,0.9922572242999044,0.9989,0.8911,43.07351280038984,0.0290252603590488,1,t1
brain_AXT1PRE_210_6001710,5,0.9981076978376766,0.9996,0.9444,45.15128915428389,0.0134068587794899,1,t1
brain_AXT1PRE_210_6001710,6,0.9915108849699878,0.9992,0.899,39.08459976179808,0.0228230208158493,1,t1
brain_AXT1PRE_210_6001710,7,0.9965303205090568,0.9993,0.9069,42.38348988811886,0.0220045913010835,1,t1
brain_AXT1PRE_210_6001710,8,0.9948831916599478,0.9992,0.8768,37.312220155967445,0.0262254197150468,1,t1
brain_AXT1PRE_210_6001710,9,0.9955468657861508,0.9989,0.8731,40.56742507552017,0.0289458762854337,1,t1
brain_AXT1PRE_210_6001684,0,0.9858936945707676,0.9984,0.8458,37.51597804028624,0.0603638626635074,1,t1
brain_AXT1PRE_210_6001684,1,0.9912050634720796,0.9993,0.8989,36.768144757799874,0.0357878133654594,1,t1
brain_AXT1PRE_210_6001684,2,0.99491588061994,0.9991,0.8691,40.95881158381837,0.04293954372406,1,t1
brain_AXT1PRE_210_6001684,3,0.9930163334592432,0.9995,0.9258,39.88414234873708,0.0268579106777906,1,t1
brain_AXT1PRE_210_6001684,4,0.9968459196305816,0.9995,0.9165,41.92826245522412,0.0235969796776771,1,t1
brain_AXT1PRE_210_6001684,5,0.9885202981325568,0.9989,0.8837,40.599030303976335,0.0273226425051689,1,t1
brain_AXT1PRE_210_6001684,6,0.9904123593890632,0.9989,0.877,39.16056489080891,0.0297825764864683,1,t1
brain_AXT1PRE_210_6001684,7,0.9963700566419698,0.9994,0.8877,41.49731986427359,0.026902750134468,1,t1
brain_AXT1PRE_210_6001684,8,0.9985961037527924,0.9998,0.953,44.38905059766071,0.009107194840908,1,t1
brain_AXT1PRE_210_6001684,9,0.9782197794143036,0.9974,0.7587,33.41414853196913,0.049482025206089,1,t1
brain_AXT1PRE_210_6001656,0,0.982310720395894,0.9987,0.8548,37.29056486725654,0.0534029975533485,1,t1
brain_AXT1PRE_210_6001656,1,0.9934136247900096,0.9988,0.874,45.230480663114776,0.0367680191993713,1,t1
brain_AXT1PRE_210_6001656,2,0.9961166026307304,0.9991,0.8781,40.6716036266965,0.0341636501252651,1,t1
brain_AXT1PRE_210_6001656,3,0.9899776695755746,0.9984,0.8482,38.89473926461468,0.05597410723567,1,t1
brain_AXT1PRE_210_6001656,4,0.9990289371804544,0.9997,0.9428,44.47507121776934,0.0180578250437974,1,t1
brain_AXT1PRE_210_6001656,5,0.9930395307995362,0.999,0.882,35.24749171128714,0.0360698364675045,1,t1
